Részvény: AAA

Dátum	Nyitó	Záró	Minimum	Maximum	Forgalom (db)
2009-03-18	57.0000	57.0000	57.0000	57.0000	350
2009-03-19	51.0000	51.0000	50.0000	55.0000	5650
2009-03-20	50.0000	52.0000	50.0000	52.0000	6865
2009-03-23	49.0000	55.0000	49.0000	55.0000	6218
2009-03-24	55.0000	56.0000	55.0000	56.0000	1162
2009-03-25	56.0000	56.0000	55.0000	58.0000	10956
2009-03-26	56.0000	56.0000	54.0000	58.0000	1465
2009-03-27	55.0000	64.0000	55.0000	64.0000	59977
2009-03-30	69.0000	73.0000	68.0000	73.0000	42208
2009-03-31	75.0000	83.0000	75.0000	83.0000	23986
2009-04-01	85.0000	87.0000	85.0000	95.0000	68859
2009-04-02	90.0000	83.0000	80.0000	92.0000	49066
2009-04-03	80.0000	76.0000	73.0000	80.0000	51569
2009-04-06	82.0000	80.0000	80.0000	86.0000	17526
2009-04-07	80.0000	92.0000	80.0000	92.0000	43833
2009-04-08	90.0000	90.0000	85.0000	92.0000	5827
2009-04-09	92.0000	86.0000	86.0000	92.0000	11385
2009-04-10	88.0000	88.0000	87.0000	91.0000	35368
2009-04-14	91.0000	90.0000	90.0000	91.0000	3315
2009-04-15	87.0000	85.0000	84.0000	87.0000	43887
2009-04-16	82.0000	90.0000	82.0000	90.0000	7765
2009-04-17	90.0000	92.0000	89.0000	92.0000	12022
2009-04-20	87.0000	86.0000	86.0000	87.0000	1237
2009-04-21	85.0000	88.0000	85.0000	88.0000	13099
2009-04-22	89.0000	89.0000	88.0000	89.0000	11522
2009-04-23	85.0000	86.0000	85.0000	86.0000	1051
2009-04-24	86.0000	86.0000	86.0000	86.0000	365
2009-04-27	85.0000	85.0000	85.0000	85.0000	248
2009-04-28	85.0000	87.0000	83.0000	87.0000	1010
2009-04-29	83.0000	80.0000	80.0000	83.0000	22510
2009-04-30	80.0000	80.0000	79.0000	81.0000	171000
2009-05-04	80.0000	83.0000	76.0000	83.0000	136191
2009-05-05	83.0000	80.0000	80.0000	83.0000	1656
2009-05-06	84.0000	86.0000	83.0000	87.0000	27733
2009-05-07	85.0000	88.0000	85.0000	90.0000	38103
2009-05-08	84.0000	86.0000	84.0000	86.0000	2100
2009-05-11	87.0000	86.0000	84.0000	88.0000	20000
2009-05-12	86.0000	89.0000	85.0000	89.0000	11888
2009-05-13	86.0000	86.0000	86.0000	86.0000	6222
2009-05-14	86.0000	88.0000	85.0000	88.0000	17936
2009-05-15	85.0000	85.0000	85.0000	85.0000	10000
2009-05-18	88.0000	87.0000	87.0000	88.0000	2597
2009-05-19	85.0000	87.0000	85.0000	87.0000	400
2009-05-22	87.0000	85.0000	85.0000	87.0000	3835
2009-05-25	87.0000	87.0000	87.0000	87.0000	257
2009-05-26	86.0000	84.0000	84.0000	86.0000	1642
2009-05-27	87.0000	90.0000	83.0000	90.0000	48217
2009-05-28	90.0000	89.0000	89.0000	90.0000	8870
2009-05-29	90.0000	91.0000	90.0000	97.0000	31433
2009-06-02	90.0000	90.0000	90.0000	90.0000	500
2009-06-03	87.0000	90.0000	87.0000	90.0000	172
2009-06-04	87.0000	90.0000	87.0000	90.0000	3500
2009-06-05	88.0000	90.0000	88.0000	90.0000	738
2009-06-08	86.0000	86.0000	86.0000	86.0000	565
2009-06-09	86.0000	86.0000	86.0000	86.0000	500
2009-06-10	86.0000	90.0000	86.0000	94.0000	7969
2009-06-12	88.0000	88.0000	88.0000	88.0000	320
2009-06-15	90.0000	90.0000	90.0000	90.0000	370
2009-06-16	90.0000	93.0000	90.0000	93.0000	3800
